"Date.Time","Year","Month","Day","Time","Temp"
"2003-01-06 17:00",2003,1,6,"17:00",-5.7
"2003-01-06 18:00",2003,1,6,"18:00",-6.5
"2003-01-06 19:00",2003,1,6,"19:00",-6.9
"2003-01-06 20:00",2003,1,6,"20:00",-7.9
"2003-01-06 21:00",2003,1,6,"21:00",-9.4
"2003-01-06 22:00",2003,1,6,"22:00",-10.3
"2003-01-06 23:00",2003,1,6,"23:00",-11.1
"2003-01-07 00:00",2003,1,7,"00:00",-11.5
"2003-01-07 01:00",2003,1,7,"01:00",-12.7
"2003-01-07 02:00",2003,1,7,"02:00",-13.2
"2003-01-07 03:00",2003,1,7,"03:00",-14
"2003-01-07 04:00",2003,1,7,"04:00",-13.2
"2003-01-07 05:00",2003,1,7,"05:00",-14.3
"2003-01-07 06:00",2003,1,7,"06:00",-11.4
"2003-01-07 07:00",2003,1,7,"07:00",-10.4
"2003-01-07 08:00",2003,1,7,"08:00",-8.5
"2003-01-07 09:00",2003,1,7,"09:00",-7.6
"2003-01-07 10:00",2003,1,7,"10:00",-7
"2003-01-07 11:00",2003,1,7,"11:00",-5.4
"2003-01-07 12:00",2003,1,7,"12:00",-4
"2003-01-07 13:00",2003,1,7,"13:00",-2.8
"2003-01-07 14:00",2003,1,7,"14:00",-1.3
"2003-01-07 15:00",2003,1,7,"15:00",-1.3
"2003-01-07 16:00",2003,1,7,"16:00",-2.2
"2003-01-07 17:00",2003,1,7,"17:00",-2
"2003-01-07 18:00",2003,1,7,"18:00",-1.7
"2003-01-07 19:00",2003,1,7,"19:00",-1.3
"2003-01-07 20:00",2003,1,7,"20:00",-1.5
"2003-01-07 21:00",2003,1,7,"21:00",-1.4
"2003-01-07 22:00",2003,1,7,"22:00",-0.9
"2003-01-07 23:00",2003,1,7,"23:00",-0.2
"2003-01-08 00:00",2003,1,8,"00:00",0.1
"2003-01-08 01:00",2003,1,8,"01:00",0.9
"2003-01-08 02:00",2003,1,8,"02:00",1.4
"2003-01-08 03:00",2003,1,8,"03:00",1.8
"2003-01-08 04:00",2003,1,8,"04:00",2.2
"2003-01-08 05:00",2003,1,8,"05:00",2.3
"2003-01-08 06:00",2003,1,8,"06:00",2.4
"2003-01-08 07:00",2003,1,8,"07:00",2.9
"2003-01-08 08:00",2003,1,8,"08:00",3.4
"2003-01-08 09:00",2003,1,8,"09:00",2.9
"2003-01-08 10:00",2003,1,8,"10:00",3.2
"2003-01-08 11:00",2003,1,8,"11:00",3.3
"2003-01-08 12:00",2003,1,8,"12:00",3.6
"2003-01-08 13:00",2003,1,8,"13:00",3.6
"2003-01-08 14:00",2003,1,8,"14:00",3.4
"2003-01-08 15:00",2003,1,8,"15:00",3.3
"2003-01-08 16:00",2003,1,8,"16:00",2.8
"2003-01-08 17:00",2003,1,8,"17:00",3.4
"2003-01-08 18:00",2003,1,8,"18:00",2.8
"2003-01-08 19:00",2003,1,8,"19:00",2.3
"2003-01-08 20:00",2003,1,8,"20:00",2.3
"2003-01-08 21:00",2003,1,8,"21:00",2.2
"2003-01-08 22:00",2003,1,8,"22:00",2.2
"2003-01-08 23:00",2003,1,8,"23:00",3.4
"2003-01-09 00:00",2003,1,9,"00:00",3.4
"2003-01-09 01:00",2003,1,9,"01:00",4.7
"2003-01-09 02:00",2003,1,9,"02:00",4.4
"2003-01-09 03:00",2003,1,9,"03:00",4.4
"2003-01-09 04:00",2003,1,9,"04:00",4.3
"2003-01-09 05:00",2003,1,9,"05:00",2.8
"2003-01-09 06:00",2003,1,9,"06:00",3.3
"2003-01-09 07:00",2003,1,9,"07:00",3.2
"2003-01-09 08:00",2003,1,9,"08:00",2.8
"2003-01-09 09:00",2003,1,9,"09:00",2.6
"2003-01-09 10:00",2003,1,9,"10:00",2.4
"2003-01-09 11:00",2003,1,9,"11:00",2.7
"2003-01-09 12:00",2003,1,9,"12:00",2.2
"2003-01-09 13:00",2003,1,9,"13:00",1.7
"2003-01-09 14:00",2003,1,9,"14:00",0.3
"2003-01-09 15:00",2003,1,9,"15:00",0.1
"2003-01-09 16:00",2003,1,9,"16:00",-0.1
"2003-01-09 17:00",2003,1,9,"17:00",0.2
"2003-01-09 18:00",2003,1,9,"18:00",0.2
"2003-01-09 19:00",2003,1,9,"19:00",0.1
